Time,Red Objects,Yellow Objects,Green Objects,Total Energy (Red),Total Energy (Yellow),Total Energy (Green)
95,8,69,13,443.92539062512805,5233.797265625491,1120.0000000000102
96,8,68,13,444.9878906251347,5072.434765625489,1100.5000000000114
97,8,66,11,471.9597656251503,5160.233203125478,911.0000000000107
98,8,68,8,447.9597656251507,5392.43320312549,644.0000000000089
99,8,67,7,423.9597656251511,5336.483203125486,553.0000000000084
100,8,64,7,399.9597656251515,5205.295703125472,542.500000000009
101,6,62,13,385.98476562513343,5079.495703125463,1123.00000000001
102,6,62,12,367.9847656251339,5026.595703125468,1033.5000000000095
103,6,62,10,349.98476562513434,5068.645703125474,850.0000000000085
104,6,62,8,331.98476562513474,5235.633203125473,660.500000000008
105,6,64,6,313.9847656251352,5399.066015625482,477.000000000007
106,6,61,6,382.6113281251441,5188.183203125469,468.0000000000075
107,5,61,9,367.6738281251291,5066.1832031254735,754.5000000000083
108,5,60,9,352.67382812512955,4943.875390625472,741.0000000000091
109,5,62,8,337.67382812512994,5023.716015625485,632.0000000000095
110,5,64,7,322.67382812513046,5105.797265625501,526.0000000000099
111,7,60,5,593.7812500001627,4983.6207031254835,366.5000000000076
112,7,60,5,572.7812500001634,4863.620703125487,359.000000000008
113,7,57,4,551.781250000164,4826.989453125472,271.00000000000733
114,7,57,4,530.7812500001646,4712.689453125476,265.0000000000077
115,7,57,4,509.7812500001653,4597.58945312548,259.000000000008
116,5,55,10,556.953906250159,4427.0738281254635,844.0000000000089
117,5,58,8,541.9539062501595,4752.237109375472,635.0000000000093
118,5,57,8,561.3539062501751,4600.537109375461,623.00000000001
119,5,59,7,546.3539062501758,4687.50273437547,517.0000000000105
120,5,58,4,531.3539062501764,4800.637109375471,277.000000000007
121,5,55,4,516.353906250177,4689.049609375453,271.00000000000733
122,5,55,3,500.85390625017754,4659.299609375457,175.35000000000707
123,5,55,3,485.85390625017794,4548.999609375462,170.85000000000736
124,5,54,3,521.480468750188,4386.173046875456,166.35000000000758
125,5,54,3,506.4804687501887,4277.073046875459,161.85000000000787
126,5,54,3,491.48046875018935,4167.673046875463,157.3500000000081
127,5,55,1,507.5085937501974,4228.158984375472,59.450000000002305
128,5,54,1,506.4480468752015,4103.519531250472,57.95000000000239
129,5,53,1,498.9308593752091,3983.436718750469,56.450000000002476
130,5,51,1,483.9308593752097,3879.380468750459,54.95000000000256
131,5,51,1,468.9308593752104,3774.780468750462,53.450000000002646
132,9,49,1,874.069726562797,3482.2929687504384,51.95000000000273
133,9,49,1,847.0697265627983,3384.2929687504407,50.45000000000282
134,9,48,1,875.9603515628096,3232.2023437504336,48.9500000000029
135,11,43,1,1151.1048828128569,2966.700000000404,47.45000000000299
136,11,42,1,1120.9337890628642,2877.5710937504,45.95000000000307
